Frequency (Hz),Realised Gain (dB),Antenna Factor (dB),S11 (dB)
301904761.9,6.18356712,13.63383214,-16.99600893
302666666.7,6.023998694,13.81529318,-16.14962247
303428571.4,5.880942979,13.98018647,-15.36575859
304190476.2,5.745752897,14.13715936,-14.63837057
304952381,5.594844312,14.30979626,-13.99110471
305714285.7,5.410926467,14.5153882,-13.38221606
306476190.5,5.196944282,14.75099053,-12.76934182
307238095.2,4.933777441,15.03572384,-12.17911569
308000000,4.57634297,15.41467136,-11.64735359
308761904.8,4.085028744,15.92744548,-11.08823985
309523809.5,3.509032738,16.5248485,-10.54911764
310285714.3,3.020019396,17.03521622,-10.08916072
311047619,2.795908056,17.28062957,-9.783470772
311809523.8,2.966240299,17.13154722,-10.03983018
312571428.6,3.467159643,16.65182591,-11.09213594
313333333.3,4.127442904,16.01268907,-12.94108988
314095238.1,4.757649487,15.40357756,-15.62970164
314857142.9,5.275206629,14.90706437,-19.41392358
315619047.6,5.615048757,14.58821534,-24.02948736
316380952.4,5.796901804,14.42730478,-26.76098163
317142857.1,5.874479796,14.37061889,-26.78520272
317904761.9,5.898663986,14.36727668,-24.07354983
318666666.7,5.903738644,14.38299411,-22.15115981
319428571.4,5.908989633,14.39848555,-20.7602763
320190476.2,5.958549195,14.36961901,-19.78670652
320952381,6.096609471,14.25220257,-19.08798372
321714285.7,6.318475696,14.05093123,-18.59529279
322476190.5,6.550880263,13.83907283,-18.21419433
323238095.2,6.723331392,13.68711939,-17.92109192
324000000,6.82450516,13.60639504,-17.69240957
324761904.8,6.887429434,13.56387216,-17.40778887
325523809.5,6.944493729,13.52716146,-17.15328098
326285714.3,6.985585703,13.50637549,-16.91637632
327047619,6.998438076,13.51378176,-16.6965556
327809523.8,6.963134885,13.56929645,-16.63510423
328571428.6,6.866951008,13.68564491,-16.66394658
329333333.3,6.697267453,13.87544634,-16.80224357
330095238.1,6.463437818,14.12934737,-17.0613618
330857142.9,6.190764565,14.42204574,-17.4520182
331619047.6,5.931367876,14.70142148,-17.95972412
332380952.4,5.725715521,14.92700704,-18.56741733
333142857.1,5.602470934,15.07013919,-19.25992225
333904761.9,5.538005082,15.15444717,-20.00371588
334666666.7,5.495479709,15.21676945,-20.86133675
335428571.4,5.446759415,15.28524164,-21.7919144
336190476.2,5.403703004,15.34800512,-22.80498468
336952381,5.39488677,15.37648382,-23.93324277
337714285.7,5.427129287,15.36385936,-25.09216027
338476190.5,5.477329213,15.33323327,-25.75631178
339238095.2,5.507048788,15.32304353,-25.80330561
340000000,5.496584235,15.35299411,-25.14834168
340761904.8,5.436984855,15.43203589,-23.44943286
341523809.5,5.344726959,15.54369276,-21.71220931
342285714.3,5.247084355,15.66069112,-20.03957112
343047619,5.177336764,15.74975142,-18.53038445
343809523.8,5.141108847,15.80524921,-17.422942
344571428.6,5.110063398,15.85552187,-16.63824443
345333333.3,5.058390356,15.92637966,-16.18902096
346095238.1,5.003777242,16.00013524,-16.09298745
346857142.9,4.971760514,16.05125233,-16.41825145
347619047.6,5.038137164,16.00393414,-17.0731994
348380952.4,5.192809606,15.86827844,-17.97045753
349142857.1,5.427616775,15.65244646,-19.02506691
349904761.9,5.618721078,15.48027598,-20.04120484
350666666.7,5.706762792,15.41112691,-20.73772797
351428571.4,5.657220107,15.47952124,-20.94834967
352190476.2,5.504731077,15.65082108,-20.62698387
352952381,5.271795979,15.90252634,-19.73688726
353714285.7,5.008594907,16.1844571,-18.47534433
354476190.5,4.788934689,16.42280671,-17.182157
355238095.2,4.701863113,16.52852754,-15.93216169
356000000,4.769169396,16.47983056,-14.78627217
356761904.8,4.963152122,16.30441736,-13.81301345
357523809.5,5.21520982,16.07088956,-12.92575849
358285714.3,5.46991419,15.83467565,-12.11931347
359047619,5.665919369,15.65712165,-11.3865679
